Timestamp,ハピナ名掛丁商店街・東 - ハピナ名掛丁商店街・西,ハピナ名掛丁商店街・西 - クリスロード商店街・中央,クリスロード商店街・中央 - クリスロード商店街・西,クリスロード商店街・西 - マーブルロードおおまち商店街・東,マーブルロードおおまち商店街・東 - マーブルロードおおまち商店街・西,マーブルロードおおまち商店街・西 - ぶらんど～む一番町商店街・南,ぶらんど～む一番町商店街・南 - サンモール一番町商店街・中央,ぶらんど～む一番町商店街・南 - ぶらんど～む一番町商店街・北,サンモール一番町商店街・中央 - サンモール一番町商店街・南,ぶらんど～む一番町商店街・北 - 一番町四丁目商店街・南,一番町四丁目商店街・南 - 一番町四丁目商店街・中央,一番町四丁目商店街・中央 - 一番町四丁目商店街・北
2025-10-31 07:00:00,1375.9419761709607,11222.038657001463,39297.9320767533,61283.127847395466,7574.560080598963,23374.434093590196,2826.1997042447083,,7740.219820622395,,6071.239675250566,1721.244558728587
2025-10-31 08:00:00,2827.1046934819697,38905.77511947751,115629.44427844459,136252.9510599988,26523.46243102594,127011.19105637877,17737.101564656823,,42801.625014443474,,17015.240544403536,8148.140998690305
2025-10-31 09:00:00,3153.441755387604,24691.479425382102,66713.08878949017,78286.39805883537,15572.945498725647,60505.73331603757,6516.4798824730915,,16269.374388571376,,12851.00843568683,7357.698960400872
2025-10-31 10:00:00,6534.784611255819,30017.58319948952,73585.0664995254,82575.33945256278,20466.616772590838,109677.0313351819,9141.938046454214,,15033.385325369736,,22120.793130688835,13100.316199283205
2025-10-31 11:00:00,5747.921594195961,41051.713153122706,91799.44039365368,102326.80737193699,30287.609999612774,193372.95813870677,19104.78481544717,,29787.71141217131,,37462.00391419327,20514.333380429835
2025-10-31 12:00:00,7619.271782932308,65887.14684121379,138695.47719856855,153794.33910307835,48278.366571073944,334058.7838425993,42781.29370308889,,73797.88809155644,,86890.99109915337,43703.541404119875
2025-10-31 13:00:00,6843.232769043777,62980.82967190097,78133.84275649984,83463.69790087889,42508.38816559275,305190.54539478413,31605.142104759165,,46012.09975940025,,62321.26308498704,31709.91048426438
2025-10-31 14:00:00,6422.85734250719,61976.60036184919,0.0,0.0,40806.88136929785,282617.85849429236,24474.977230115815,,32603.107846310657,,56022.9333097793,28739.866289171037
2025-10-31 15:00:00,5520.8884040819985,65663.76031807691,0.0,0.0,37719.675211168396,257457.45804657997,20101.562439190264,,25531.200605311187,,46924.76139271045,24210.76433856484
2025-10-31 16:00:00,7608.536229225102,86424.12605471119,9117.596700770186,9321.173116097696,46847.56300187073,320247.8073406392,26375.857659087287,,32499.27381026654,,65698.14283379319,31163.608593281504
2025-10-31 17:00:00,7829.900361498312,151815.24985451569,273506.4388742477,263144.1353646297,81859.92672074701,591321.277514886,49845.983789359205,,56991.13338221171,,146838.19836628652,58653.4652084438
2025-10-31 18:00:00,5742.133682387802,153832.72965632012,308555.9439584789,328379.5571764311,92778.92434778505,690371.356808975,58213.55281611739,,66292.97071584748,,183751.97567216386,63920.98631888844
2025-10-31 19:00:00,2872.1309988090593,163000.3369256232,291880.12484284164,267504.4554939484,73621.84658107639,533696.2807940035,41683.263065617626,,43490.49878932267,,128294.46882311723,34014.049404621815
2025-10-31 20:00:00,2467.8975994738353,136791.5765279473,238140.0366936441,210675.50234625014,54228.72577746514,391868.65362564166,29606.801497643286,,27515.88788420038,,128482.28294288041,11970.035185798033
2025-10-31 21:00:00,2387.8867670426966,103861.7944797087,181058.50951661423,157059.55686761832,38607.50200223984,273922.5391908939,19830.54924928199,,18586.27981181755,,97702.15314676017,8082.09586218048
2025-10-31 22:00:00,1943.8096481684922,72632.42187766587,112623.4470370995,98225.45910314276,25361.3776735037,187991.67219461576,13550.67979242908,,12358.057820553982,,95412.72525389947,7455.191479725382
2025-10-31 23:00:00,1569.8840105221288,40545.39699658075,57231.6695660001,53522.94392203472,15198.97895393728,128285.32695461385,8864.599630025663,,7104.988434555723,,83677.4942600621,6252.112037775185
2025-11-01 00:00:00,652.8454946479941,6368.270233537565,11256.463089094634,12836.445883935647,3182.0797979161625,24466.957156685585,1997.031449631997,,1617.559342873247,,12820.778112397475,2697.642967949541
2025-11-01 01:00:00,0.0,2528.809369737943,4250.615827803684,5589.1537854504195,1177.2707974809064,7511.5238761247765,695.002954083264,,718.4378664395085,,23639.889485506894,1480.3081948790684
2025-11-01 02:00:00,0.0,1207.9633873397402,1932.3716826883121,2802.6745741189093,480.3363780575398,2774.2824871269304,252.8656285698129,,300.66534702597187,,16170.131452904136,949.8892618955118
2025-11-01 03:00:00,0.0,569.1777062621197,1002.8675482228978,1581.1796625335646,284.92384373837086,1819.189886470101,161.51552858400393,,186.06723033002663,,8969.380662466543,727.4909466702151
2025-11-01 04:00:00,0.0,413.36321907732287,798.6409888656365,1259.9586193212226,234.66541836852875,-2.3843033659340103,-0.16981836095717714,,116.0664725457007,,5550.53024685534,404.67698747485724
2025-11-01 05:00:00,0.0,1570.481322853775,3025.880582498944,4044.207500809348,928.4110727990147,6622.1927130220365,297.13815480867663,,224.42460355014563,,7704.810377792875,555.3004534299487
2025-11-01 06:00:00,0.0,1837.4334152822626,3292.083868314318,5255.836605224851,736.4523030462077,2899.50318948853,212.99349523798296,,329.110791590281,,2195.8521317782074,301.32850748168636
2025-11-01 07:00:00,0.0,4736.571610550908,11233.461417419456,19511.898217997452,2473.6501331304426,7229.980185475531,626.6906429777453,,1278.1858604334918,,2950.3588458460745,530.3383285498089
2025-11-01 08:00:00,0.0,12754.374305250729,29534.711243822818,44075.45262824827,7346.038480606668,27171.89055729701,2664.2024598320127,,5309.574752715823,,11237.057266483906,4656.287977958062
2025-11-01 09:00:00,0.0,30289.554339126465,68604.18465724861,80278.48197114131,16756.670860952046,77414.25850619956,6267.92331024167,,10929.25909818854,,24067.51963959933,12778.711306594063
2025-11-01 10:00:00,0.0,52046.91370136054,120015.00220902864,136750.60019248616,37153.10327870552,246372.01454273908,21552.33761102681,,29273.540383215397,,100544.44213977267,38373.24206457658
2025-11-01 11:00:00,0.0,70340.86631084232,153153.66002226833,162870.67272211067,17926.774107357378,131298.07895702802,28827.185022936974,,34380.774857162985,,85607.27746548664,37946.756236515306
2025-11-01 12:00:00,0.0,85212.38843122585,181002.37363743637,204844.64967157983,68952.9613139315,514706.54980710667,47506.41855716896,,62024.62774165571,,136309.18108091163,63013.35126075635
2025-11-01 13:00:00,0.0,139183.1322690591,286563.5781055711,288634.6971100358,95274.27268391692,742111.9264044695,67472.5478089436,,87438.03755697067,,219036.25014487616,99223.34512833998
2025-11-01 14:00:00,0.0,179979.21744714433,377882.89862911624,364720.65576131945,121397.42528965617,933714.9926474274,96990.2291720103,,128813.98384189443,,272852.1022315473,115101.87279722348
2025-11-01 15:00:00,0.0,191266.3631746712,265570.4366835787,262383.41737691715,138565.87348874373,1141125.072305701,124833.95073664348,,168971.71722812194,,344724.58049724874,140354.17849454377
2025-11-01 16:00:00,0.0,189003.44354587176,391453.5358008369,403084.1734216719,133000.32779537136,1046473.7025013414,103969.71509451367,,129766.84356107352,,305072.804107234,121390.53457558337
2025-11-01 17:00:00,0.0,174207.94613010908,285545.61848990235,296018.2007099532,111992.6854758553,935732.6506028082,80945.33306936582,,86313.34438981292,,263464.4157689329,94219.30922930135
2025-11-01 18:00:00,0.0,114519.20247798921,185527.69459347983,226835.7562168169,72284.66418498162,536414.4985702935,43581.77145007311,,46414.50931606723,,181494.24172347097,58936.16826490323
2025-11-01 19:00:00,0.0,117273.12821442082,198162.7280961832,193726.7922944068,55873.299382746874,378066.0221854623,34893.102288864735,,46065.03957048551,,151738.6410052523,34578.55235942759
2025-11-01 20:00:00,0.0,96325.33140990253,155938.88138988736,149804.8375253365,37862.764551526845,239167.8475195257,20519.145788783964,,24969.51551920264,,148992.76642264277,15330.182504062
2025-11-01 21:00:00,0.0,56887.68593100009,99096.39162902554,95116.12421538924,23557.11480377621,153896.57342282563,13288.009352357309,,15717.653898114682,,104808.61205391999,8475.389172879544
2025-11-01 22:00:00,0.0,37108.370446129156,48648.08344618991,45966.51055614446,11519.896485467892,74511.57904403459,6237.55694572039,,7401.04436608777,,64693.585813301346,5119.438140859239
2025-11-01 23:00:00,0.0,19419.35480128569,25924.218181616747,26501.351841313754,6993.965925624471,51584.4704854574,4282.418535572332,,4801.801710439548,,43032.37332980355,3121.691240243265
